Libelle du departement,Inscrits,Abstentions,Votants,Exprimes,Blancs,Nuls,Tendance,Annee,Evolution_Tx_Chomage,Vols de vehicules_Tauxpourmille,Vols d'accessoires sur vehicules_Tauxpourmille,Coups et blessures volontaires intrafamiliaux_Tauxpourmille,Vols avec armes_Tauxpourmille,Violences sexuelles_Tauxpourmille,Destructions et degradations volontaires_Tauxpourmille,Vols dans les vehicules_Tauxpourmille,Coups et blessures volontaires_Tauxpourmille,Vols sans violence contre des personnes,Cambriolages de logement,Vols violents sans arme,Autres coups et blessures volontaires_Tauxpourmille,proba_extreme droite,proba_centre,proba_droite,proba_extreme gauche,prediction
Saône-et-Loire,406418,86755,319663,309949,6844,2870,droite,2017,-0.6499999999999986,0.11757542499999984,-0.23831292300000007,0.13828522900000007,-0.014316217999999999,0.055204408999999954,0.06424072499999944,0.09670295600000012,0.21782918699999998,0.2635740790000005,0.032111481000000275,0.03499036700000002,0.07954395800000014,0.06031680296564173,1.329145684747961E-4,0.9389350216258866,6.152608399968069E-4,droite
Haute-Saône,177715,39039,138676,134739,2364,1573,extreme droite,2022,-2.125000000000001,-0.3636511290000001,-0.04444147200000004,0.9402833960000001,-0.008302707999999999,0.525554931,-1.1105965509999995,-0.5528714480000001,1.137214137,-0.6305598300000002,-1.3373009059999998,-0.054152940999999996,0.19693074099999985,0.9023073245182829,0.09765316105792571,4.875804900655012E-8,3.9465665742430106E-5,extreme droite
Haute-Saône,179214,34976,144238,139522,2820,1896,extreme droite,2017,-0.8249999999999993,0.036929417999999936,-0.06977733199999991,-0.11071348700000017,-0.029443433999999997,0.115355019,0.10816325299999985,-0.20681982399999987,-0.3050022160000001,0.0963264800000001,-0.20097069000000012,-0.0038620580000000015,-0.19428872899999994,0.9023392836081645,2.4010255908587092E-5,0.09655020436182597,0.0010865017741008688,extreme droite
Rhône,1181226,255580,925646,909013,12708,3925,centre,2022,-2.0,0.1415700120000003,0.22535699599999992,1.1495624070000001,0.007244079000000014,0.5196867660000001,-1.7621330299999993,0.5186719379999989,2.026900068,-0.001958450000000056,-0.42958803000000145,0.09710689300000008,0.8773376600000002,0.023094463193440325,0.9768429211648719,8.222233142561585E-6,5.4393408545224587E-5,centre
Rhône,1155668,249139,906529,888484,10643,7402,droite,2017,-0.47499999999999964,-0.1875690440000004,0.007726381999999976,-0.05168175900000005,-0.02361771500000001,0.060101846999999986,0.2579727199999997,1.4498774380000006,-0.07131238699999987,1.3571069700000002,-0.6393099199999988,-0.21924570899999996,-0.01963062800000026,3.624962449129395E-4,0.030479043960286122,0.9609137762197397,0.008244683575061244,droite
Haut-Rhin,531738,137861,393877,385109,6382,2386,extreme droite,2022,-2.075,-0.3815713089999999,-0.021559824000000005,1.352922933,-0.018551312999999993,0.724086869,-0.8504299959999999,0.3239141010000002,1.7238915650000002,-0.11422277299999983,-1.7126273750000003,-0.14975184199999997,0.37096863199999985,0.9996898948350277,2.796349315593732E-4,3.068200147118645E-6,2.740203326574191E-5,extreme droite
Haut-Rhin,526189,110395,415794,403910,9073,2811,droite,2017,-0.3500000000000014,0.05067774299999994,0.015913015999999947,0.10390769899999985,0.010380245999999996,0.10005921599999995,0.012943878999999825,0.15452802099999996,0.21218066000000002,-0.28145586000000034,0.6266690280000002,-0.03889963799999996,0.10827296099999995,0.009833222455360929,0.0018724670072560563,0.9858700594430361,0.0024242510943468893,droite
Bas-Rhin,778712,190224,588488,576719,8335,3434,centre,2022,-1.9000000000000004,-0.13978406899999996,0.25843180999999993,0.860673499,-0.004895336,0.572453493,-1.0551433499999998,0.20207228700000002,1.3773959939999996,0.045968697999999364,-0.35533028499999997,-0.07332419199999995,0.5167224939999999,0.04564550281360949,0.9541879258210039,4.067354149883327E-6,1.6250401123683002E-4,centre
Bas-Rhin,766548,154353,612195,597786,9796,4613,droite,2017,-0.20000000000000107,0.018362215999999987,-0.04109497299999998,-0.015052520000000014,-0.003833394000000004,0.07904608700000004,0.12235489100000052,0.512550676,0.11589997100000016,0.7836695700000007,-0.11766812400000015,0.05328440099999998,0.13095249099999995,9.780096569619119E-5,0.07200249076355869,0.9260488681898801,0.0018508400808650196,droite
Pyrénées-Orientales,362076,87704,274372,268568,3528,2276,extreme droite,2022,-2.6750000000000025,-0.29956328099999974,-0.5399317449999999,1.139380592,-0.022927920000000004,0.7096691970000001,-0.5286408000000016,-1.6122595100000003,1.9048697929999996,-2.017853370000001,-1.9428094520000005,-0.18109523500000013,0.7654892009999998,0.9566598859626437,0.043339216806517415,7.4658864004206E-10,8.964842502134185E-7,extreme droite
Pyrénées-Orientales,347914,73984,273930,266787,4563,2580,extreme droite,2017,0.5750000000000028,0.02479964499999987,0.25679100099999985,0.010246768000000017,0.01473394900000001,0.12004603800000002,-0.5311489399999996,0.6693677620000003,0.02670192800000004,0.10325318000000117,0.437844181,-0.004414531999999971,0.016455161000000107,0.8890308109073878,4.8191682911207293E-4,0.09515231900298059,0.015334953260519502,extreme droite
Hautes-Pyrénées,177443,39595,137848,134888,2064,896,extreme droite,2022,-2.3,-0.4552343310000001,0.07382938800000005,0.959927303,-0.017718774,0.8463564399999999,-0.6767159060000001,-1.301279727,1.5700067590000004,-1.5093143850000006,-1.803782832,-0.37746808400000004,0.6100794559999998,0.8456679551648907,0.15430030221916466,9.419068190225148E-8,3.164842526279712E-5,extreme droite
Hautes-Pyrénées,177498,34243,143255,139541,2420,1294,centre,2017,-0.47499999999999964,-0.025877696999999866,-0.5029064649999999,0.15453960100000008,0.017381998000000003,0.025069950000000008,-0.38754673900000025,-0.01860704600000007,0.2817877359999996,0.6758113790000007,0.16641349699999974,0.09037025200000004,0.127248134,0.04892339794993601,0.8960698505681229,0.05470177375487564,3.0497772706539314E-4,centre
Pyrénées-Atlantiques,519929,110134,409795,401490,5816,2489,centre,2022,-2.075000000000001,-0.1617242040000002,-0.09858779200000001,1.0314925190000002,-0.013607907999999998,0.603732583,-0.5818609329999997,-1.084339612,1.6747050230000005,-1.2285377080000002,-1.1461053569999997,-0.132221537,0.6432125030000002,0.04926283046960944,0.9507140953539764,7.46485938623437E-7,2.2327690475591235E-5,centre
