Libelle du departement,Inscrits,Abstentions,Votants,Exprimes,Blancs,Nuls,Tendance,Total_Pourcentage_Voix_Exp,Annee,Evolution_Tx_Chomage,Vols de vehicules_Tauxpourmille,Vols d'accessoires sur vehicules_Tauxpourmille,Coups et blessures volontaires intrafamiliaux_Tauxpourmille,Vols avec armes_Tauxpourmille,Violences sexuelles_Tauxpourmille,Destructions et degradations volontaires_Tauxpourmille,Vols dans les vehicules_Tauxpourmille,Coups et blessures volontaires_Tauxpourmille,Vols sans violence contre des personnes,Cambriolages de logement,Vols violents sans arme,Autres coups et blessures volontaires_Tauxpourmille,prediction
Aveyron,219468,43833,175635,170902,3079,1654,centre,31.7,2022,-1.200000000000001,-0.05084663199999995,-0.25122813099999997,0.724926118,-0.007194378999999997,0.36058532600000004,-0.3786732299999995,-0.28754333199999993,1.1241910589999997,-0.477120706,-1.5302621340000002,-0.05025810999999998,0.39926494200000007,19.76973587275205
Aveyron,219468,43833,175635,170902,3079,1654,droite,16.54,2022,-1.200000000000001,-0.05084663199999995,-0.25122813099999997,0.724926118,-0.007194378999999997,0.36058532600000004,-0.3786732299999995,-0.28754333199999993,1.1241910589999997,-0.477120706,-1.5302621340000002,-0.05025810999999998,0.39926494200000007,26.887158442674213
Aveyron,219468,43833,175635,170902,3079,1654,extreme droite,26.020000000000003,2022,-1.200000000000001,-0.05084663199999995,-0.25122813099999997,0.724926118,-0.007194378999999997,0.36058532600000004,-0.3786732299999995,-0.28754333199999993,1.1241910589999997,-0.477120706,-1.5302621340000002,-0.05025810999999998,0.39926494200000007,29.032678862254908
Aveyron,219468,43833,175635,170902,3079,1654,extreme gauche,23.099999999999998,2022,-1.200000000000001,-0.05084663199999995,-0.25122813099999997,0.724926118,-0.007194378999999997,0.36058532600000004,-0.3786732299999995,-0.28754333199999993,1.1241910589999997,-0.477120706,-1.5302621340000002,-0.05025810999999998,0.39926494200000007,20.073501568141378
Aveyron,219468,43833,175635,170902,3079,1654,gauche,2.62,2022,-1.200000000000001,-0.05084663199999995,-0.25122813099999997,0.724926118,-0.007194378999999997,0.36058532600000004,-0.3786732299999995,-0.28754333199999993,1.1241910589999997,-0.477120706,-1.5302621340000002,-0.05025810999999998,0.39926494200000007,5.903920127993803
Bouches-du-Rhône,1411184,383816,1027368,1008620,13341,5407,centre,26.880000000000003,2022,-2.5500000000000007,-0.1715803530000004,-0.5376070630000003,1.3899772049999999,-0.083091586,0.5305723250000001,-2.3898628499999983,2.043665903,2.054475697999999,-2.4211334599999983,0.43123164,-0.3800799750000001,0.6644984930000004,25.67361822087923
Bouches-du-Rhône,1411184,383816,1027368,1008620,13341,5407,droite,7.98,2022,-2.5500000000000007,-0.1715803530000004,-0.5376070630000003,1.3899772049999999,-0.083091586,0.5305723250000001,-2.3898628499999983,2.043665903,2.054475697999999,-2.4211334599999983,0.43123164,-0.3800799750000001,0.6644984930000004,23.330177662956558
Bouches-du-Rhône,1411184,383816,1027368,1008620,13341,5407,extreme droite,37.019999999999996,2022,-2.5500000000000007,-0.1715803530000004,-0.5376070630000003,1.3899772049999999,-0.083091586,0.5305723250000001,-2.3898628499999983,2.043665903,2.054475697999999,-2.4211334599999983,0.43123164,-0.3800799750000001,0.6644984930000004,20.984286038847756
Bouches-du-Rhône,1411184,383816,1027368,1008620,13341,5407,extreme gauche,26.94,2022,-2.5500000000000007,-0.1715803530000004,-0.5376070630000003,1.3899772049999999,-0.083091586,0.5305723250000001,-2.3898628499999983,2.043665903,2.054475697999999,-2.4211334599999983,0.43123164,-0.3800799750000001,0.6644984930000004,24.948137843507944
Bouches-du-Rhône,1411184,383816,1027368,1008620,13341,5407,gauche,1.17,2022,-2.5500000000000007,-0.1715803530000004,-0.5376070630000003,1.3899772049999999,-0.083091586,0.5305723250000001,-2.3898628499999983,2.043665903,2.054475697999999,-2.4211334599999983,0.43123164,-0.3800799750000001,0.6644984930000004,6.485606791002565
Calvados,512148,117799,394349,386231,5547,2571,centre,36.24,2022,-2.3000000000000007,-0.2699620210000001,-0.12960714100000004,1.2436069029999999,-0.006019973000000005,0.874079584,-1.6420534059999996,0.22442383100000018,1.913525075,-0.8888582839999994,-0.5814455790000004,-0.3356989779999999,0.669918172,21.609631666329808
Calvados,512148,117799,394349,386231,5547,2571,droite,9.35,2022,-2.3000000000000007,-0.2699620210000001,-0.12960714100000004,1.2436069029999999,-0.006019973000000005,0.874079584,-1.6420534059999996,0.22442383100000018,1.913525075,-0.8888582839999994,-0.5814455790000004,-0.3356989779999999,0.669918172,24.754822436742675
Calvados,512148,117799,394349,386231,5547,2571,extreme droite,29.520000000000003,2022,-2.3000000000000007,-0.2699620210000001,-0.12960714100000004,1.2436069029999999,-0.006019973000000005,0.874079584,-1.6420534059999996,0.22442383100000018,1.913525075,-0.8888582839999994,-0.5814455790000004,-0.3356989779999999,0.669918172,28.52317963785749
Calvados,512148,117799,394349,386231,5547,2571,extreme gauche,23.099999999999998,2022,-2.3000000000000007,-0.2699620210000001,-0.12960714100000004,1.2436069029999999,-0.006019973000000005,0.874079584,-1.6420534059999996,0.22442383100000018,1.913525075,-0.8888582839999994,-0.5814455790000004,-0.3356989779999999,0.669918172,21.584093810498885
Calvados,512148,117799,394349,386231,5547,2571,gauche,1.77,2022,-2.3000000000000007,-0.2699620210000001,-0.12960714100000004,1.2436069029999999,-0.006019973000000005,0.874079584,-1.6420534059999996,0.22442383100000018,1.913525075,-0.8888582839999994,-0.5814455790000004,-0.3356989779999999,0.669918172,5.483771064160036
Cantal,115745,25019,90726,88102,1803,821,centre,31.540000000000003,2022,-1.575000000000001,-0.09423265800000002,0.04403643600000007,0.6914921150000002,-0.006780383000000001,0.6119860690000001,0.14815165500000038,-0.43729864500000004,1.637504201,-0.8723360799999997,-0.6213678450000002,-0.020013026000000003,0.946012086,18.75045322410475
Cantal,115745,25019,90726,88102,1803,821,droite,17.46,2022,-1.575000000000001,-0.09423265800000002,0.04403643600000007,0.6914921150000002,-0.006780383000000001,0.6119860690000001,0.14815165500000038,-0.43729864500000004,1.637504201,-0.8723360799999997,-0.6213678450000002,-0.020013026000000003,0.946012086,25.61136712657463
Cantal,115745,25019,90726,88102,1803,821,extreme droite,30.05,2022,-1.575000000000001,-0.09423265800000002,0.04403643600000007,0.6914921150000002,-0.006780383000000001,0.6119860690000001,0.14815165500000038,-0.43729864500000004,1.637504201,-0.8723360799999997,-0.6213678450000002,-0.020013026000000003,0.946012086,30.006069484977793
Cantal,115745,25019,90726,88102,1803,821,extreme gauche,18.89,2022,-1.575000000000001,-0.09423265800000002,0.04403643600000007,0.6914921150000002,-0.006780383000000001,0.6119860690000001,0.14815165500000038,-0.43729864500000004,1.637504201,-0.8723360799999997,-0.6213678450000002,-0.020013026000000003,0.946012086,20.99732936248231
Cantal,115745,25019,90726,88102,1803,821,gauche,2.05,2022,-1.575000000000001,-0.09423265800000002,0.04403643600000007,0.6914921150000002,-0.006780383000000001,0.6119860690000001,0.14815165500000038,-0.43729864500000004,1.637504201,-0.8723360799999997,-0.6213678450000002,-0.020013026000000003,0.946012086,4.967339630570606
Charente,257608,59909,197699,192666,3293,1740,centre,31.490000000000002,2022,-2.000000000000001,0.016541088000000093,-0.23689089900000004,1.313128901,0.011427515,0.720501303,-0.001992921999999453,-1.2796187639999999,1.9161133220000006,-0.4555082730000004,-1.8781782750000007,-0.13854442499999997,0.6029844199999999,19.24552325977044
Charente,257608,59909,197699,192666,3293,1740,droite,10.99,2022,-2.000000000000001,0.016541088000000093,-0.23689089900000004,1.313128901,0.011427515,0.720501303,-0.001992921999999453,-1.2796187639999999,1.9161133220000006,-0.4555082730000004,-1.8781782750000007,-0.13854442499999997,0.6029844199999999,26.00932750574239
